"Date"	"amr"	"amr_class"
2022-05-01	1.45164909459037	"Amphenicol"
2022-06-01	-1.39761051659473	"Amphenicol"
2022-07-01	-3.36813934232852	"Amphenicol"
2022-08-01	-2.63589410626097	"Amphenicol"
2022-09-01	2.47705167729585	"Amphenicol"
2022-10-01	5.14871381639669	"Amphenicol"
2015-06-01	-28.9381911294399	"Beta.lactam"
2015-07-01	-28.3479007770227	"Beta.lactam"
2015-08-01	-44.4137651901834	"Beta.lactam"
2015-09-01	-44.0733839774543	"Beta.lactam"
2015-10-01	-26.8975501769107	"Beta.lactam"
2015-11-01	-7.31586896577033	"Beta.lactam"
2015-12-01	13.8113836243754	"Beta.lactam"
2016-01-01	18.3437057273215	"Beta.lactam"
2016-02-01	14.1957559445697	"Beta.lactam"
2016-03-01	12.8043950158693	"Beta.lactam"
2016-04-01	3.8528197103941	"Beta.lactam"
2016-05-01	-10.0760908749269	"Beta.lactam"
2016-06-01	-16.4091269173043	"Beta.lactam"
2016-07-01	-15.3295480482652	"Beta.lactam"
2016-08-01	4.78787372265128	"Beta.lactam"
2016-09-01	27.8356135399628	"Beta.lactam"
2016-10-01	30.1566944255251	"Beta.lactam"
2016-11-01	10.4860748539526	"Beta.lactam"
2016-12-01	2.58181577047947	"Beta.lactam"
2017-01-01	-21.315070752701	"Beta.lactam"
2017-02-01	-13.8943410036388	"Beta.lactam"
2017-03-01	-7.30237992626587	"Beta.lactam"
2017-04-01	-1.33448183083084	"Beta.lactam"
2017-05-01	1.22906041682864	"Beta.lactam"
2017-06-01	-0.480669147163212	"Beta.lactam"
2017-07-01	-14.6365931377827	"Beta.lactam"
2017-08-01	-32.5433819794802	"Beta.lactam"
2017-09-01	-32.6061293488274	"Beta.lactam"
2017-10-01	-13.0024784765844	"Beta.lactam"
2017-11-01	4.00344311271346	"Beta.lactam"
2017-12-01	10.7857406596426	"Beta.lactam"
2018-01-01	-13.931065195883	"Beta.lactam"
2018-02-01	-27.5147116551158	"Beta.lactam"
2018-03-01	-19.3412993848614	"Beta.lactam"
2018-04-01	-11.9229642763952	"Beta.lactam"
2018-05-01	0.611889709344609	"Beta.lactam"
2018-06-01	25.2579510793621	"Beta.lactam"
2018-07-01	32.0589458272274	"Beta.lactam"
2018-08-01	68.8092943806251	"Beta.lactam"
2018-09-01	79.4749823027461	"Beta.lactam"
2018-10-01	-3.62380404776093	"Beta.lactam"
2018-11-01	-20.9885029097859	"Beta.lactam"
2018-12-01	-79.4390203926374	"Beta.lactam"
2019-01-01	-58.911732247791	"Beta.lactam"
2019-02-01	-22.6927746254519	"Beta.lactam"
2019-03-01	-19.460340165012	"Beta.lactam"
2019-04-01	-6.46802768409827	"Beta.lactam"
2019-05-01	13.3789025263482	"Beta.lactam"
2019-06-01	17.6960346354855	"Beta.lactam"
2019-07-01	18.6083110602382	"Beta.lactam"
2019-08-01	14.8251069854612	"Beta.lactam"
2019-09-01	7.51391594292727	"Beta.lactam"
2019-10-01	21.8375692821917	"Beta.lactam"
2019-11-01	-1.17570145224556	"Beta.lactam"
2019-12-01	-11.7522399264159	"Beta.lactam"
2020-01-01	-22.4886190929616	"Beta.lactam"
2020-02-01	-23.9718304672577	"Beta.lactam"
2020-03-01	-16.6005976169367	"Beta.lactam"
2020-04-01	-7.13838261812958	"Beta.lactam"
2020-05-01	5.46548917868733	"Beta.lactam"
2020-06-01	-1.52209089339101	"Beta.lactam"
2020-07-01	3.94356204786675	"Beta.lactam"
2020-08-01	-6.45915322634852	"Beta.lactam"
2020-09-01	0.67550794098122	"Beta.lactam"
2020-10-01	24.89453872377	"Beta.lactam"
2020-11-01	21.9441605027968	"Beta.lactam"
2020-12-01	13.1940805889753	"Beta.lactam"
2021-01-01	9.856732996218	"Beta.lactam"
2021-02-01	-1.96538626147668	"Beta.lactam"
2021-03-01	5.88730192088133	"Beta.lactam"
2021-04-01	-4.45539996299647	"Beta.lactam"
2021-05-01	-15.489224389241	"Beta.lactam"
2021-06-01	-4.59084747718362	"Beta.lactam"
2021-07-01	5.51494735598817	"Beta.lactam"
2021-08-01	16.6218773892408	"Beta.lactam"
2021-09-01	-3.15206881190204	"Beta.lactam"
2021-10-01	-20.2151576509029	"Beta.lactam"
2021-11-01	-25.0965189890719	"Beta.lactam"
2021-12-01	-5.79139177486735	"Beta.lactam"
2022-01-01	5.96099636902687	"Beta.lactam"
2022-02-01	10.2495532308662	"Beta.lactam"
2022-03-01	0.0882631619105041	"Beta.lactam"
2022-04-01	-4.35351211118018	"Beta.lactam"
2022-05-01	-2.15279572316678	"Beta.lactam"
2022-06-01	-9.99374616147219	"Beta.lactam"
2022-07-01	-5.44439279259075	"Beta.lactam"
2022-08-01	-20.5888080060128	"Beta.lactam"
2022-09-01	-33.3815246611022	"Beta.lactam"
2022-10-01	-3.46023433116483	"Beta.lactam"
2015-06-01	-6.08121908815065	"Lincosamide"
2015-07-01	-67.3588878095582	"Lincosamide"
2015-08-01	-127.453191161459	"Lincosamide"
2015-09-01	-58.2005592036512	"Lincosamide"
2015-10-01	42.314671413552	"Lincosamide"
2015-11-01	76.4249360545696	"Lincosamide"
2015-12-01	50.0192221515695	"Lincosamide"
2016-01-01	-91.8916716912461	"Lincosamide"
2016-02-01	-127.151371304702	"Lincosamide"
2016-03-01	-54.1387367613506	"Lincosamide"
2016-04-01	47.4423221768335	"Lincosamide"
2016-05-01	68.2950623128515	"Lincosamide"
2016-06-01	6.9115102828008	"Lincosamide"
2016-07-01	-40.8043623408659	"Lincosamide"
2016-08-01	-39.0170502831373	"Lincosamide"
2016-09-01	15.5948796934936	"Lincosamide"
2016-10-01	47.1200119103783	"Lincosamide"
2016-11-01	3.83574155766166	"Lincosamide"
2016-12-01	-35.6453520685112	"Lincosamide"
2017-01-01	-52.0948006808542	"Lincosamide"
2017-02-01	-35.86666735321	"Lincosamide"
2017-03-01	-10.1345388272827	"Lincosamide"
2017-04-01	-16.3916146043313	"Lincosamide"
2017-05-01	-22.7592296347075	"Lincosamide"
2017-06-01	11.687734633406	"Lincosamide"
