"Date"	"amu"	"am_group"
2013-04-01	0.0984255292910134	"SimPenicillins"
2013-05-01	0.351923510599242	"SimPenicillins"
2013-06-01	-0.200570223486892	"SimPenicillins"
2013-07-01	0.595424632165944	"SimPenicillins"
2013-08-01	-0.0582353131498934	"SimPenicillins"
2013-09-01	0.244693240202146	"SimPenicillins"
2013-10-01	-0.637863054831058	"SimPenicillins"
2013-11-01	0.140452932686934	"SimPenicillins"
2013-12-01	0.228178691724025	"SimPenicillins"
2014-01-01	0.342300197916131	"SimPenicillins"
2014-02-01	-0.275854537889856	"SimPenicillins"
2014-03-01	0.250772883361627	"SimPenicillins"
2014-04-01	-0.179903706557823	"SimPenicillins"
2014-05-01	-0.22397795189756	"SimPenicillins"
2014-06-01	-0.922202039233454	"SimPenicillins"
2014-07-01	-0.490374041954588	"SimPenicillins"
2014-08-01	0.516739457406764	"SimPenicillins"
2014-09-01	0.73674436149642	"SimPenicillins"
2014-10-01	0.315438551055713	"SimPenicillins"
2014-11-01	-0.775205744044804	"SimPenicillins"
2014-12-01	0.518389808175684	"SimPenicillins"
2015-01-01	0.255361001023871	"SimPenicillins"
2015-02-01	-0.225124672771621	"SimPenicillins"
2015-03-01	0.289990542512065	"SimPenicillins"
2015-04-01	-0.242814145942084	"SimPenicillins"
2015-05-01	0.404353230190679	"SimPenicillins"
2015-06-01	0.131185877744308	"SimPenicillins"
2015-07-01	-0.212512542992826	"SimPenicillins"
2015-08-01	0.249586269023709	"SimPenicillins"
2015-09-01	0.317206040229976	"SimPenicillins"
2015-10-01	0.609716327055381	"SimPenicillins"
2015-11-01	-0.13680617691044	"SimPenicillins"
2015-12-01	-0.978423702023647	"SimPenicillins"
2016-01-01	-0.513226004143732	"SimPenicillins"
2016-02-01	-0.766948947378253	"SimPenicillins"
2016-03-01	-0.0956725637663354	"SimPenicillins"
2016-04-01	-0.66354589222356	"SimPenicillins"
2016-05-01	0.586533655309019	"SimPenicillins"
2016-06-01	0.464915359334974	"SimPenicillins"
2016-07-01	0.124978150822869	"SimPenicillins"
2016-08-01	-0.2698932139281	"SimPenicillins"
2016-09-01	-0.628783146361023	"SimPenicillins"
2016-10-01	-0.0510031829558883	"SimPenicillins"
2016-11-01	0.405272309059832	"SimPenicillins"
2016-12-01	-0.67735057315199	"SimPenicillins"
2017-01-01	-1.26970340486793	"SimPenicillins"
2017-02-01	0.0822616784452137	"SimPenicillins"
2017-03-01	0.431727785601964	"SimPenicillins"
2017-04-01	1.24697337568472	"SimPenicillins"
2017-05-01	-0.034760110184699	"SimPenicillins"
2017-06-01	0.618494855712534	"SimPenicillins"
2017-07-01	-0.240992634663257	"SimPenicillins"
2017-08-01	0.115425481362038	"SimPenicillins"
2017-09-01	-0.0709057676209213	"SimPenicillins"
2017-10-01	0.237518202678508	"SimPenicillins"
2017-11-01	0.0895932943350033	"SimPenicillins"
2017-12-01	-0.930332128119645	"SimPenicillins"
2018-01-01	-0.00597471475610689	"SimPenicillins"
2018-02-01	0.200349376057019	"SimPenicillins"
2018-03-01	0.417130578126326	"SimPenicillins"
2018-04-01	0.342241961814885	"SimPenicillins"
2018-05-01	-0.225132530839858	"SimPenicillins"
2018-06-01	-0.186744033782588	"SimPenicillins"
2018-07-01	0.0709238818884401	"SimPenicillins"
2018-08-01	-0.647863610300526	"SimPenicillins"
2018-09-01	-0.421828650138153	"SimPenicillins"
2018-10-01	-0.391453710753396	"SimPenicillins"
2018-11-01	0.165081228228871	"SimPenicillins"
2018-12-01	0.795994333917086	"SimPenicillins"
2019-01-01	0.867863965460863	"SimPenicillins"
2019-02-01	0.752853353047882	"SimPenicillins"
2019-03-01	0.216381848259466	"SimPenicillins"
2019-04-01	-0.136820328183823	"SimPenicillins"
2019-05-01	-0.484047575689488	"SimPenicillins"
2019-06-01	-0.371338024847226	"SimPenicillins"
2019-07-01	0.045346088858274	"SimPenicillins"
2019-08-01	0.83738406356494	"SimPenicillins"
2019-09-01	0.464333200545255	"SimPenicillins"
2019-10-01	0.633536326261506	"SimPenicillins"
2019-11-01	-0.172288407613998	"SimPenicillins"
2019-12-01	0.834873061914244	"SimPenicillins"
2020-01-01	-0.0661206774382919	"SimPenicillins"
2020-02-01	0.17254685085318	"SimPenicillins"
2020-03-01	-0.436960782191434	"SimPenicillins"
2020-04-01	0.260653396482347	"SimPenicillins"
2020-05-01	-0.382913385680595	"SimPenicillins"
2020-06-01	0.669677909561372	"SimPenicillins"
2020-07-01	-0.192924764981655	"SimPenicillins"
2020-08-01	0.334029102332472	"SimPenicillins"
2020-09-01	-0.370362987378286	"SimPenicillins"
2020-10-01	-0.537263874866596	"SimPenicillins"
2020-11-01	-0.292032456814624	"SimPenicillins"
2020-12-01	0.779677717376515	"SimPenicillins"
2021-01-01	0.645320860781631	"SimPenicillins"
2021-02-01	0.581686629790191	"SimPenicillins"
2021-03-01	0.384526446131055	"SimPenicillins"
2021-04-01	0.383929923339309	"SimPenicillins"
2021-05-01	0.493197899772703	"SimPenicillins"
2021-06-01	0.621651263892645	"SimPenicillins"
2021-07-01	0.014031767461077	"SimPenicillins"
2021-08-01	-0.285957800671127	"SimPenicillins"
2021-09-01	-0.525617990661779	"SimPenicillins"
2021-10-01	-0.234861833846594	"SimPenicillins"
2021-11-01	0.0748929978170381	"SimPenicillins"
2021-12-01	-0.43510308897072	"SimPenicillins"
2022-01-01	-0.403481965195994	"SimPenicillins"
2022-02-01	-0.102280316704281	"SimPenicillins"
2022-03-01	0.0268551054583668	"SimPenicillins"
2022-04-01	-0.783751751247422	"SimPenicillins"
2022-05-01	-0.128862005832467	"SimPenicillins"
2022-06-01	-0.476363400816695	"SimPenicillins"
2022-07-01	0.59628614943194	"SimPenicillins"
2022-08-01	-0.534596063926294	"SimPenicillins"
2022-09-01	0.496105445747915	"SimPenicillins"
2022-10-01	0.303104153241804	"SimPenicillins"
2022-11-01	0.768236592485543	"SimPenicillins"
2022-12-01	0.158319919976407	"SimPenicillins"
2013-04-01	0.356651134164281	"ExtPenicillins"
2013-05-01	-0.159471029074478	"ExtPenicillins"
2013-06-01	-0.477182856282429	"ExtPenicillins"
2013-07-01	0.19659436352913	"ExtPenicillins"
2013-08-01	0.632782005068098	"ExtPenicillins"
2013-09-01	0.513436337992456	"ExtPenicillins"
2013-10-01	-0.559096168481641	"ExtPenicillins"
2013-11-01	-0.232589018101894	"ExtPenicillins"
2013-12-01	0.144076773277	"ExtPenicillins"
2014-01-01	-0.301336329803974	"ExtPenicillins"
2014-02-01	0.683214095889877	"ExtPenicillins"
2014-03-01	0.145848195006504	"ExtPenicillins"
2014-04-01	0.127164157660609	"ExtPenicillins"
2014-05-01	-0.880346013251774	"ExtPenicillins"
2014-06-01	-0.114745170609496	"ExtPenicillins"
2014-07-01	0.631117462133965	"ExtPenicillins"
2014-08-01	0.0287348658263014	"ExtPenicillins"
2014-09-01	-0.681818687389644	"ExtPenicillins"
2014-10-01	-0.750936396489838	"ExtPenicillins"
2014-11-01	-0.949598055959793	"ExtPenicillins"
2014-12-01	0.0633542282934307	"ExtPenicillins"
2015-01-01	-0.177737041104308	"ExtPenicillins"
2015-02-01	-0.375331600201125	"ExtPenicillins"
2015-03-01	-0.261567889064228	"ExtPenicillins"
2015-04-01	-0.239019514968788	"ExtPenicillins"
2015-05-01	0.243723175031953	"ExtPenicillins"
2015-06-01	-0.381586324055565	"ExtPenicillins"
2015-07-01	-0.073415455450867	"ExtPenicillins"
2015-08-01	-0.25339828896837	"ExtPenicillins"
